Text;Filename;MED short title;Source corpus;Edn.;MS;MED date;Area;V/P;Genre;Words
The Anonymous Short English Metrical Chronicle;eme.smchron;SMChron. (Auch:Zettl);Auchinleck;Zettl 1935 (EETS 196);Auchinleck;c1330;EM;V;RELIG; 12.980 
Speculum of Guy of Warwick;eme.specguy;Spec.Guy (Auch);Auchinleck;Morrill 1898 (EETS E.S. 75 );Auchinleck;c1330(?c1300);EM;V;RELIG; 6.000 
The Thrush and the Nightingale;eme.thrush;Thrush & N. (Dgb 86);HC;Brown 1932;Digby 86;?a1300;S;V;DIAL; 1.100 
Trinity Homilies;eme.trinity;Trin.Hom. (Trin-C B.14.52);PPCME2;Morris 1873 (EETS O.S. 53);Trinity College 335;a1225 (?OE);EM;P;RELIG; 36.300 
Sir Tristrem;eme.tristrem;Tristrem (Auch);Auchinleck;McNeill 1886 (STS 8);Auchinleck;c1330(?a1300);EM;V;NARR; 15.480 
Vices and Virtues;eme.vices;Vices & V.(1) (Stw 34);ICMEP;Holthausen (EETS O.S. 89 + 159);Stowe 34;a1225_c1200;EM;P;RELIG; 28.569 
The Wohunge of Ure Lauerd;eme.wohunge;Wooing Lord (Tit D.18);ICMEP;Morris 1969 (EETS O.S. 29, 34);Cotton Titus D. xviii;a1250;WM;P(all);LYR; 4.090 
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
